Reference,Quantity,Value,Datasheet,MFR,MPN
C1 C4,2,0.1uF,~,KEMET,C0603C104M5RACTU
C18 C17 C12 C6 C20 C14 C8 C22 C16 C10 C11 C5 C19 C13 C7 C21 C15 C9 C24 C26 C23 C25 C28 C30 C27 C29 C32 C34 C31 C33 C2 C42 C37 C38 C39 C40 C48 C50 C52 C46 C49 C51 C53 C47,44,0.1uF,~,KEMET,C0402C104M8PACTU
C3 C43,2,0.01uF,~,KEMET,C0402C103K3RACTU
C35 C36,2,47pf,~,KEMET,C0402C470K5GACTU
C41,1,100uF,~,KEMET,C1210C107M4PAC7800
C44 C45 C56 C54 C57 C55,6,4.7uF,~,KEMET,C0603C475K8PACTU
D1 D9 D10,3,BLUE,~,Wurth Electronics,150060BS75000
D2 D6,2,PINK,~,Optosupply,OSK40603C1E
D35 D36 D59 D60 D11 D12 D15 D16 D19 D20 D31 D32 D55 D56 D7 D8 D63 D64 D43 D44 D23 D24 D47 D48 D51 D52 D27 D28 D3 D4 D72 D71 D68 D67 D40 D39,36,D_Schottky_Small,https://www.comchiptech.com/admin/files/product/CDBQR0230L-HF-RevC431048.pdf,Comchip,CDBQR0230L-HF
D5,1,WHITE,~,ROHM Semiconductor,SMLEN3WBC8W1
F1,1,Polyfuse_Small,~,Bel Fuse,0ZCH0050FF2G
J1,1,USB_B_Micro,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10103593.pdf,Amphenol ICC,10103593-0001lf
J2,1,Conn_02x26_Top_Bottom,https://content.norcomp.net/rohspdfs/SCSI-050Ribbon/11Y/112/112-YYY-113RYY1.pdf,NorComp,112-050-113R001
J3,1,Conn_02x05_Odd_Even,~,Samtec,FTSH-105-01-L-DV-K-TR
R1 R2,2,1M,~,Vishay Dale,CRCW06031M00FKEA
R4 R3 R6 R5 R8 R7 R66 R64 R70 R71 R68,11,10k,~,Vishay Dale,CRCW060310K0FKEA
R45 R47 R48 R50 R51 R53 R54 R56 R57 R59 R60 R62 R27 R29 R30 R32 R33 R35 R36 R38 R39 R41 R42 R44 R9 R11 R12 R14 R15 R17 R18 R20 R21 R23 R24 R26,36,330,~,TE Connectivity Passive Product ,CRGCQ0402F330R
R46 R49 R52 R55 R58 R61 R28 R31 R34 R37 R40 R43 R10 R13 R16 R19 R22 R25,18,150,~,TE Connectivity Passive Product ,CRGCQ0402F150R
R65,1,6k8,~,Vishay Dale,CRCW06036K80FKEA
R67 R63 R69,3,4k7,~,Vishay Dale,CRCW06034K70FKEA
U1,1,128MiB,https://www.winbond.com/resource-files/w25n01gv%20revl%20050918%20unsecured.pdf,Winbond,W25N01GVZEIG TR
U2,1,ICE40HX8K-BG121,http://www.latticesemi.com/Products/FPGAandCPLD/iCE40,Lattice Semiconductors,ICE40HX8K-BG121
U22 U21 U24 U23 U26 U25,6,TXB0106,https://www.ti.com/lit/ds/symlink/txb0106.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1594267308757,Texas Instruments,TXB0106RGYR
U27,1,FT240XQ,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT240X.pdf,FTDI,FT240XQ-R
U28,1,MAX809JTRG,https://www.mouser.com/datasheet/2/308/MAX809S-D-1811035.pdf,ON Semiconductors,MAX809JTRG
U29,1,TLV755533PDRVR,http://www.ti.com/lit/ds/symlink/tlv733p-q1.pdf,Texas Instruments,TLV75533PDRVR
U30,1,TLV73312PQDRVRQ1,http://www.ti.com/lit/ds/symlink/tlv755p.pdf,Texas Instruments,TLV73312PQDRVRQ1
U4 U7 U6 U13 U8 U19 U5 U11 U17 U3 U9 U15 U14 U20 U12 U18 U10 U16,18,THVD1451,https://www.ti.com/lit/ds/symlink/thvd1410.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1594256188624,Texas Instruments,THVD1451DRBR
X1,1,ASEM-48MHz,http://abracon.com/Oscillators/ASEMB.pdf,Abracon,ASEMB-48.000MHZ-LY-T
